Banco,Tipo_contrato,Taxa_tipo,Taxa%,Vencimento (dias),Valor inicial,Valor bruto,IR,Valor líquido,Rentabilidade líquida (%)
PARANA BANCO,CDB,CDI_PCT,96.15,90,200000,208772.02,1973.7,206798.32,3.4
BANCO RODOBENS,CDB,CDI_PCT,95.29,90,200000,208691.9,1955.68,206736.22,3.37
BANCO FIBRA S.A AGENCIA MATRIZ,CDB,IPCA,10.0,134,200000,208476.92,1907.31,206569.61,3.28
NEON FINANCEIRA,CDB,CDI_PCT,110.0,154,200000,207660.66,1723.65,205937.01,2.97
PARANA BANCO,CDB,PRE,14.9,93,200000,207592.88,1708.4,205884.48,2.94
BANCO GUANABARA S/A,CDB,CDI_PCT,98.8,77,200000,207544.65,1697.55,205847.1,2.92
BANCO DAYCOVAL,CDB,PRE,14.64,93,200000,207460.38,1678.59,205781.8,2.89
MERCADO LIVRE,CDB,PRE,14.63,92,200000,207375.12,1659.4,205715.72,2.86
BANCO DAYCOVAL,CDB,PRE,14.95,90,200000,207372.6,1658.84,205713.77,2.86
BANCO BTG PACTUAL,CDB,PRE,14.4,93,200000,207338.08,1651.07,205687.01,2.84
BANCO PAN,CDB,PRE,14.4,93,200000,207338.08,1651.07,205687.01,2.84
BANCO VOLKSWAGEN S.A.,CDB,PRE,14.6,91,200000,207280.0,1638.0,205642.0,2.82
STELLANTIS FINANCIAMENTOS,CDB,PRE,14.5,91,200000,207230.14,1626.78,205603.36,2.8
BANCO BV,CDB,PRE,14.18,93,200000,207225.97,1625.84,205600.13,2.8
BANCO BTG PACTUAL,CDB,PRE,14.28,92,200000,207198.68,1619.7,205578.98,2.79
BANCO DAYCOVAL,CDB,PRE,14.53,90,200000,207165.48,1612.23,205553.25,2.78
PARANA BANCO,CDB,PRE,14.34,91,200000,207150.36,1608.83,205541.53,2.77
BANCO DAYCOVAL,CDB,PRE,14.34,91,200000,207150.36,1608.83,205541.53,2.77
BANCO BTG PACTUAL,CDB,PRE,14.15,92,200000,207133.15,1604.96,205528.19,2.76
BANCO PAN,CDB,PRE,14.3,91,200000,207130.41,1604.34,205526.07,2.76
PARANA BANCO,CDB,PRE,14.44,90,200000,207121.1,1602.25,205518.85,2.76
BANCO DAYCOVAL,CDB,PRE,14.41,90,200000,207106.3,1598.92,205507.38,2.75
BANCO BTG PACTUAL,CDB,PRE,14.38,90,200000,207091.51,1595.59,205495.92,2.75
PARANA BANCO,CDB,PRE,14.33,90,200000,207066.85,1590.04,205476.81,2.74
BANCO BTG PACTUAL,CDB,PRE,14.15,90,200000,206978.08,1570.07,205408.01,2.7
BANCO DAYCOVAL,CDB,PRE,14.14,90,200000,206973.15,1568.96,205404.19,2.7
BANCO RODOBENS,CDB,PRE,14.01,90,200000,206909.04,1554.53,205354.51,2.68
BANCO OURINVEST,CDB,PRE,13.8,91,200000,206881.1,1548.25,205332.85,2.67
OURIBANK,CDB,PRE,13.9,90,200000,206854.79,1542.33,205312.47,2.66
NU INVEST,CDB,PRE,15.6,79,200000,206752.88,1519.4,205233.48,2.62
NEON FINANCEIRA,CDB,CDI_PCT,99.4,65,200000,206231.04,1401.98,204829.05,2.41
BANCO BTG PACTUAL,CDB,CDI_PCT,101.25,62,200000,206003.63,1350.82,204652.81,2.33
BANCO BTG PACTUAL,CDB,CDI_PCT,101.25,62,200000,206003.63,1350.82,204652.81,2.33
BANCO BTG PACTUAL,CDB,CDI_PCT,101.25,62,200000,206003.63,1350.82,204652.81,2.33
BANCO PAN,CDB,CDI_PCT,98.25,63,200000,205934.71,1335.31,204599.4,2.3
BANCO STELLANTIS,CDB,CDI_PCT,99.01,62,200000,205868.91,1320.51,204548.41,2.27
PAGBANK,CDB,CDI_PCT,98.25,62,200000,205823.23,1310.23,204513.0,2.26
BANCO DAYCOVAL,CDB,CDI_PCT,97.0,62,200000,205748.11,1293.32,204454.78,2.23
